dataset,algorithm,ensemble_size,cores,batch_size,core,instances,time,acc,prec,recall
airlines,OzaBagExecutorMAXChunk,25,4,75,1,539383.0,105.76200103759766,60.37273691471293,59.68295326936956,58.448133012247006,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1,45312.0,10.71399974822998,77.57942645044407,79.95815901676684,74.86479229544183,0
airlines,OzaBagExecutorMAXChunk,25,4,50,1,539383.0,111.20500183105469,60.93155805411499,61.99185910080068,57.741180476859924,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,1,45312.0,10.550000190734863,77.47640206026041,78.83190617477416,75.15564843996245,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,1,45312.0,9.637999534606934,76.6920286649562,76.26347059276273,75.70736428072829,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,5,1,45312.0,66.7490005493164,89.01935683227758,88.96435273197105,88.4913640498641,0
airlines,OzaBagExecutorMAXChunk,25,4,25,1,539383.0,120.7959976196289,61.26042443052666,60.726048231906674,59.3188067355496,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,1,45312.0,13.72599983215332,78.02988500673185,77.85159071127592,76.79157827801663,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,1,45312.0,11.619999885559082,76.55618610197187,77.00774445613273,74.62538875237892,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1,45312.0,9.770999908447266,73.86637507810407,77.98435761564492,70.21918208071519,0
airlines,OzaBagExecutorMAXChunk,25,4,5,1,539383.0,149.5800018310547,59.85839244463067,60.08426831086259,56.776235252149654,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,250,1,45312.0,9.234999656677246,76.85411211220097,77.73298455868255,74.69290819617176,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,1,45312.0,10.472000122070312,77.91374214998153,78.41622099232927,76.14034513980327,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,45312.0,57.143001556396484,89.0586702585731,89.05431732627224,88.48110173210048,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,539383.0,2605.074951171875,66.13318053786232,65.71974665944808,65.0316650537292,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,539383.0,2269.76904296875,66.16789142939021,65.77598302341971,65.07413173315267,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,539383.0,2698.137939453125,66.2041818320036,65.8041894614393,65.07762027190378,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,45312.0,54.54899978637695,88.98080155710873,88.98081219325064,88.39757872700449,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,539383.0,2657.7548828125,66.17424551462244,65.76412964507001,65.06967054693425,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,250,1,539383.0,2446.527099609375,66.19479794410655,65.79424582696336,65.07556379928336,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,1,45312.0,54.417999267578125,88.96631307975677,88.92677976168268,88.41689591105617,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,45312.0,56.58100128173828,88.86041270823208,88.8434589717877,88.2830640357704,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,45312.0,54.803001403808594,88.82442202981345,88.8371612141444,88.21009556566544,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1,45312.0,53.41600036621094,88.6088821097774,88.61004677681557,88.0002573909803,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,539383.0,2316.85302734375,66.17651698049484,65.76887650966312,65.08106519851667,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,539383.0,2786.291015625,66.21724346352515,65.80735614541663,65.11720460741938,0
airlines,OzaBagExecutorMAXChunk,25,4,100,1,539383.0,103.302001953125,60.83633268617776,61.00078619424993,58.07485727330658,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,1,539383.0,99.93399810791016,61.157312382416265,60.88307705816427,58.910241546448326,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,15,1,539383.0,2830.25390625,66.1590973138933,65.75112754880654,65.04397110416376,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,45312.0,53.41400146484375,88.53435537495382,88.49321097772491,87.98399112446009,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,15,1,45312.0,59.29800033569336,88.84694350619246,88.8388662999331,88.26026708924266,0
airlines,OzaBagExecutorMAXChunk,25,4,500,1,539383.0,101.14600372314453,61.25708177841943,60.64404234353865,59.50861898748262,0
airlines,OzaBagExecutorMAXChunk,25,4,250,1,539383.0,100.84500122070312,60.55370381705442,60.08772172641035,58.29341405124592,0
airlines,OzaBagExecutorMAXChunk,25,4,15,1,539383.0,128.5279998779297,60.245138754987316,60.100163949932316,57.54034750425181,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,15,1,45312.0,11.491000175476074,76.77108859306357,77.37012581063301,74.76876998891672,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,5,1,539383.0,2933.597900390625,66.2273952589835,65.82663568551695,65.10529208042905,0
