dataset,size,LBag-100,LBag-150,ARF-100,ARF-150,SRP-100,SRP-150,OBAdwin-100,OBAdwin-150,OBASHT-100,OBASHT-150,OB-100,OB-150
Airlines,B1,965.96,1282.34,1115.80,1528.65,1340.47,1822.71,798.78,1059.23,872.98,1201.77,399.64,582.92
Airlines,B50,526.64,724.42,626.87,873.30,785.44,1035.46,288.92,385.94,206.76,262.11,155.92,239.81
Airlines,B500,297.95,377.98,411.64,602.36,603.82,830.28,201.53,276.82,124.73,177.67,130.36,203.03
Airlines,B2k,223.12,308.73,387.13,585.62,580.37,801.66,159.71,228.15,116.96,169.64,126.63,196.99
GMSC,B1,117.02,175.56,131.92,196.91,231.88,329.48,67.87,105.91,68.12,99.15,68.46,105.50
GMSC,B50,32.39,52.07,50.24,73.74,111.16,146.74,13.41,21.10,12.85,16.76,18.27,26.78
GMSC,B500,29.88,48.40,37.25,58.68,92.87,122.26,10.52,15.90,8.07,10.38,10.84,16.07
GMSC,B2k,29.51,46.80,35.39,56.95,88.39,119.77,10.40,16.25,6.01,7.95,9.86,15.00
Electricity,B1,34.47,47.37,40.56,57.83,78.01,112.49,25.50,35.70,30.20,42.84,20.97,29.53
Electricity,B50,11.02,15.19,16.03,21.40,38.40,53.04,6.50,8.97,6.70,11.18,6.57,8.99
Electricity,B500,7.95,11.48,11.78,16.52,28.11,45.35,4.62,6.63,4.46,6.46,4.24,6.18
Electricity,B2k,7.75,10.70,11.28,15.74,25.17,36.90,4.19,6.30,3.89,5.77,4.04,5.86
Covertype,B1,1147.01,1661.16,757.98,1075.69,2230.79,3027.27,881.92,1380.66,871.84,1253.06,849.56,1269.25
Covertype,B50,392.27,551.63,250.95,343.99,811.74,1126.28,329.01,502.55,363.89,511.11,324.02,470.59
Covertype,B500,344.03,513.61,196.30,294.35,662.59,974.71,224.20,332.88,270.88,419.57,218.84,308.24
Covertype,B2k,339.32,502.85,190.23,298.38,648.96,984.36,235.28,353.36,278.17,428.52,206.23,311.84
